
2025/02/12 (01:11:59) | ===> btop++ v.1.4.0
2025/02/12 (01:11:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:12:03) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:12:08) | ===> btop++ v.1.4.0
2025/02/12 (01:12:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:12:31) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:12:35) | ===> btop++ v.1.4.0
2025/02/12 (01:12:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:12:43) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:12:51) | ===> btop++ v.1.4.0
2025/02/12 (01:12:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:13:05) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:13:15) | ===> btop++ v.1.4.0
2025/02/12 (01:13:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:13:23) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:13:49) | ===> btop++ v.1.4.0
2025/02/12 (01:13:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:13:53) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:14:28) | ===> btop++ v.1.4.0
2025/02/12 (01:14:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:14:38) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:16:51) | ===> btop++ v.1.4.0
2025/02/12 (01:16:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:16:56) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:19:02) | ===> btop++ v.1.4.0
2025/02/12 (01:19:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:19:06) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:56:08) | ===> btop++ v.1.4.0
2025/02/12 (01:56:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:56:12) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:56:17) | ===> btop++ v.1.4.0
2025/02/12 (01:56:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (01:56:22) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (02:02:06) | ===> btop++ v.1.4.0
2025/02/12 (02:02:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (02:02:12) | WARNING: Failed to join _runner thread on exit!
